difficulty,importance,scheduled_duration,category,location,fixed_time,time_difference,real_duration
0.28,0.56,44,study,cafe,22:15,0.25,0.0
0.812,0.386,47,health,home,,-1,68.0
0.401,0.386,35,work,home,23:45,3.75,38.9
0.317,0.444,22,errand,store,,-1,30.0
0.51,0.22,30,personal,home,23:00,4.0,29.1
0.279,0.919,56,study,home,,-1,60.5
0.544,0.738,108,work,office,11:30,2.5,124.2
0.524,0.266,34,study,cafe,09:30,1.5,50.6
0.826,0.46,36,work,cafe,,-1,59.5
0.285,0.052,24,personal,store,20:15,1.25,25.5
0.13,0.436,44,personal,cafe,,-1,46.6
0.322,0.612,75,work,office,,-1,90.5
0.52,0.717,55,work,cafe,,-1,64.2
0.104,0.286,27,personal,cafe,,-1,31.4
0.687,0.774,89,personal,cafe,16:18,8.3,99.3
0.635,0.536,80,study,cafe,,-1,96.4
0.192,0.475,28,personal,store,,-1,32.7
0.0,0.54,126,social,cafe,,-1,102.6
0.359,0.476,34,errand,outdoor,,-1,59.1
0.0,0.405,22,personal,store,10:18,0.3,23.2
0.66,0.683,51,work,cafe,19:00,2.0,68.2
0.088,0.177,43,personal,cafe,,-1,35.1
0.308,0.557,24,personal,store,22:30,1.5,25.3
0.035,0.432,100,social,outdoor,,-1,100.8
0.407,0.766,46,work,cafe,23:18,13.3,65.6
0.359,0.613,16,errand,home,18:15,7.25,14.8
0.591,0.228,74,personal,cafe,,-1,69.6
0.229,0.309,68,study,home,,-1,61.8
0.031,0.53,75,personal,store,,-1,59.0
0.082,0.243,147,social,outdoor,16:00,8.0,144.2
0.651,0.566,54,work,office,23:45,17.75,81.9
0.105,0.562,64,work,office,20:15,12.25,74.6
1.0,0.747,33,health,outdoor,22:30,6.5,83.1
0.435,0.84,55,work,cafe,15:00,8.0,80.1
0.654,0.618,106,work,home,14:30,1.5,111.7
0.361,0.392,60,social,home,,-1,57.4
0.368,0.701,37,health,outdoor,,-1,68.5
0.493,0.43,68,study,home,22:18,14.3,77.1
0.378,0.179,146,social,home,23:00,4.0,137.4
0.0,0.456,31,errand,store,,-1,34.6
0.415,0.592,114,study,home,,-1,124.8
0.386,0.705,36,errand,home,15:45,0.75,33.3
0.706,0.656,54,study,cafe,23:45,3.75,68.6
0.502,0.666,58,health,gym,16:18,5.3,89.6
0.273,0.764,119,work,home,16:00,5.0,129.2
0.214,0.407,51,study,cafe,,-1,67.2
0.358,0.749,142,social,cafe,15:45,6.75,152.5
0.0,0.396,25,errand,outdoor,,-1,38.4
0.417,0.241,89,work,office,22:30,5.5,110.8
0.467,0.911,112,study,cafe,,-1,137.2
0.124,0.896,28,errand,outdoor,,-1,47.6
0.741,0.492,81,study,home,,-1,103.2
0.59,0.192,40,personal,store,,-1,45.8
0.379,0.27,27,errand,store,,-1,33.4
0.359,0.041,90,personal,store,,-1,72.7
0.487,0.233,50,personal,cafe,22:30,3.5,54.3
0.309,0.372,25,personal,home,22:15,1.25,17.1
0.342,0.579,88,personal,home,,-1,69.5
0.401,0.839,43,health,home,22:30,7.5,54.9
0.484,0.765,91,work,office,20:15,8.25,121.5
0.623,0.495,107,study,home,,-1,120.8
0.52,0.25,92,work,home,,-1,97.4
0.936,0.728,31,health,home,,-1,44.5
0.0,0.292,20,errand,store,20:18,9.3,24.3
0.896,0.779,94,work,cafe,23:18,1.3,139.5
