text,difficulty,importance
complete deployment grueling most important,0.941,0.868
do exam prep tough urgent must do,0.655,0.902
lead presentation needs attention,0.359,0.556
have medication hard waste of time,0.773,0.108
prepare for sprint planning tough urgent must do,0.67,0.93
go to sprint planning tough urgent must do,0.618,0.856
take care of dusting hard waste of time,0.608,0.083
file taxes trivial but high stakes,0.095,0.912
go to meeting not hard but important,0.148,0.62
take care of cleaning easy no effort,0.045,0.076
refactor unit testing quite demanding,0.515,0.581
get dusting moderate nothing special,0.433,0.434
go to presentation thirty seconds can't skip,0.08,0.902
go for meditation needs attention,0.4,0.747
have presentation complex nobody asked for,0.689,0.053
have presentation hard waste of time,0.785,0.13
do stretch demanding critical,0.611,0.941
go for workout not easy not important,0.476,0.337
work on email small but worth doing,0.11,0.259
attend presentation technically hard completely optional,0.746,0.153
do gym session hard very important,0.583,0.887
go for workout someday task,0.415,0.189
finish report tough no benefit,0.636,0.131
fix email in the morning,0.275,0.326
finish code review extreme critical,0.94,0.902
prepare for assignment light and simple,0.067,0.142
get doctor appointment extremely complex critical,0.827,0.88
debug report one click very important,0.034,0.866
do dusting tough challenging,0.607,0.692
do expense report complex nobody asked for,0.644,0.117
complete timesheet hard needs focus,0.727,0.719
get vacuuming easy nothing to stress,0.134,0.062
prepare for call with client tiny task major impact,0.062,0.944
do stretch on Monday,0.388,0.344
write report important moderate effort,0.347,0.638
get dentist easy low importance,0.196,0.358
go to dentist moderate effort,0.388,0.459
write code review easy must do,0.085,0.815
lead retrospective kinda hard kinda matters,0.466,0.541
do checkup complex nobody asked for,0.606,0.141
go to call with client hard waste of time,0.701,0.138
lead sprint planning complex very important,0.79,0.906
finish dishes quick can't miss,0.142,0.869
push code review hard very important,0.668,0.908
run team standup easy no effort,0.066,0.114
review assignment hard waste of time,0.695,0.148
prepare for call with client simple critical,0.103,0.928
do yoga tough urgent must do,0.694,0.945
fill out expense report easy very important,0.126,0.829
debug email grueling most important,0.945,0.913
hard gym session session,0.629,0.509
take care of cleaning decent priority,0.415,0.671
review email quick but matters,0.099,0.615
complete documentation difficult urgent,0.664,0.932
run sprint planning not difficult,0.249,0.376
do shopping quite demanding,0.566,0.524
go for walk hard cannot miss,0.658,0.851
attend interview tiny task major impact,0.09,0.828
complete timesheet tonight,0.322,0.328
lead interview kinda hard kinda matters,0.537,0.458
do dentist solid mid level task,0.403,0.511
take care of shopping hard doesn't matter,0.717,0.14
prepare for networking event easy simple,0.082,0.129
get dentist trivial but high stakes,0.121,0.939
complete unit testing decent priority,0.349,0.622
do timesheet tough urgent must do,0.687,0.897
run team standup hard very important,0.722,0.874
debug performance review takes forever but skip it,0.846,0.146
attend slides easy very important,0.124,0.877
do budget not hard but important,0.208,0.645
write email extreme critical,0.941,0.942
file taxes grueling most important,0.976,0.887
finish deployment not urgent,0.286,0.213
do laundry simple urgent need,0.115,0.939
complete performance review difficult needs doing,0.684,0.687
file expense report should take some time,0.429,0.398
submit timesheet hard critical,0.683,0.897
go to networking event barely any effort extremely important,0.055,0.85
push unit testing complex nobody asked for,0.693,0.078
refactor performance review important needs focus,0.531,0.77
have presentation hard doesn't matter,0.631,0.118
get laundry kinda hard kinda matters,0.548,0.496
prepare for presentation simple enough,0.136,0.133
do doctor appointment someday task,0.269,0.316
file budget quick but important,0.106,0.771
file budget minor task,0.171,0.276
complete taxes takes no time,0.046,0.156
take care of cooking by noon,0.305,0.418
finish dishes kinda hard kinda matters,0.498,0.514
debug documentation moderately important,0.335,0.51
prepare for standup extreme critical,0.823,0.931
complete unit testing takes forever but skip it,0.784,0.099
attend sprint planning hard zero payoff,0.671,0.119
finish reading not important but hard,0.727,0.3
review unit testing draining but irrelevant,0.761,0.082
get checkup decent priority,0.3,0.507
go for yoga tiny task major impact,0.06,0.807
prepare for sprint planning decent effort important,0.358,0.594
do medication tough urgent must do,0.604,0.944
do doctor appointment extremely complex critical,0.814,0.852
have interview quick but matters,0.144,0.676
do medication exhausting low stakes,0.668,0.088
lead call with client hard doesn't matter,0.616,0.071
debug email takes forever but skip it,0.677,0.134
do invoice not hard,0.09,0.218
handle shopping before lunch,0.294,0.311
do dentist extremely hard life or death,0.848,1.0
do exam prep easy must do,0.122,0.948
finish study session quick nothing important,0.074,0.15
join standup quick can't miss,0.094,0.899
lead meeting simple urgent need,0.176,0.891
do homework not a priority,0.229,0.217
finish assignment easy no effort,0.019,0.096
take care of dishes hardest thing ever very important,0.952,0.957
ship code review hard demanding,0.684,0.726
finish cooking standard routine,0.457,0.419
fill out expense report hard hard,0.642,0.582
